ZipCode,FY11Total,FY13Total,Chge11num,PChg2011,Chg2011,PChg2011
60438,"$8,386,913 ","$9,950,669 ",1563756,18.6,"$1,563,756.00",18.60%
61322,"$173,585 ","$206,004 ",32419,18.7,"$32,419.00",18.70%
62208,"$4,502,238 ","$5,342,521 ",840283,18.7,"$840,283.00",18.70%
61104,"$5,707,626 ","$6,777,246 ",1069620,18.7,"$1,069,620.00",18.70%
60901,"$7,026,471 ","$8,344,912 ",1318441,18.8,"$1,318,441.00",18.80%
61062,"$172,056 ","$204,505 ",32449,18.9,"$32,449.00",18.90%
62458,"$396,552 ","$471,821 ",75269,19,"$75,269.00",19.00%
61356,"$2,286,079 ","$2,720,053 ",433974,19,"$433,974.00",19.00%
60804,"$15,407,635 ","$18,329,668 ",2922033,19,"$2,922,033.00",19.00%
62069,"$307,302 ","$366,236 ",58934,19.2,"$58,934.00",19.20%
62221,"$3,834,389 ","$4,572,478 ",738089,19.2,"$738,089.00",19.20%
62703,"$7,970,273 ","$9,499,778 ",1529505,19.2,"$1,529,505.00",19.20%
61010,"$1,270,043 ","$1,514,968 ",244925,19.3,"$244,925.00",19.30%
62907,"$103,371 ","$123,386 ",20015,19.4,"$20,015.00",19.40%
60638,"$15,618,374 ","$18,654,799 ",3036425,19.4,"$3,036,425.00",19.40%
60119,"$754,562 ","$901,722 ",147160,19.5,"$147,160.00",19.50%
61103,"$6,172,173 ","$7,373,398 ",1201225,19.5,"$1,201,225.00",19.50%
62220,"$2,745,495 ","$3,282,758 ",537263,19.6,"$537,263.00",19.60%
61068,"$2,610,388 ","$3,120,857 ",510469,19.6,"$510,469.00",19.60%
62670,"$206,106 ","$246,767 ",40661,19.7,"$40,661.00",19.70%
60550,"$400,062 ","$478,952 ",78890,19.7,"$78,890.00",19.70%
61756,"$332,750 ","$398,384 ",65634,19.7,"$65,634.00",19.70%
60044,"$1,595,308 ","$1,911,963 ",316655,19.8,"$316,655.00",19.80%
62844,"$686,591 ","$822,390 ",135799,19.8,"$135,799.00",19.80%
60096,"$2,422,104 ","$2,905,396 ",483292,20,"$483,292.00",20.00%
62832,"$1,496,730 ","$1,798,966 ",302236,20.2,"$302,236.00",20.20%
61375,"$117,604 ","$141,466 ",23862,20.3,"$23,862.00",20.30%
60639,"$20,649,691 ","$24,845,546 ",4195855,20.3,"$4,195,855.00",20.30%
60477,"$12,132,116 ","$14,595,349 ",2463233,20.3,"$2,463,233.00",20.30%
61361,"$119,687 ","$144,207 ",24520,20.5,"$24,520.00",20.50%
60805,"$9,709,462 ","$11,702,907 ",1993445,20.5,"$1,993,445.00",20.50%
62560,"$214,100 ","$258,212 ",44112,20.6,"$44,112.00",20.60%
62449,"$301,730 ","$364,076 ",62346,20.7,"$62,346.00",20.70%
60459,"$9,551,628 ","$11,537,527 ",1985899,20.8,"$1,985,899.00",20.80%
60924,"$93,539 ","$113,105 ",19566,20.9,"$19,566.00",20.90%
62095,"$2,243,284 ","$2,712,650 ",469366,20.9,"$469,366.00",20.90%
61414,"$70,406 ","$85,212 ",14806,21,"$14,806.00",21.00%
62558,"$271,035 ","$328,009 ",56974,21,"$56,974.00",21.00%
62704,"$6,811,759 ","$8,241,982 ",1430223,21,"$1,430,223.00",21.00%
61282,"$1,641,256 ","$1,987,126 ",345870,21.1,"$345,870.00",21.10%
60005,"$6,116,379 ","$7,405,251 ",1288872,21.1,"$1,288,872.00",21.10%
62685,"$84,409 ","$102,280 ",17871,21.2,"$17,871.00",21.20%
62540,"$283,158 ","$343,671 ",60513,21.4,"$60,513.00",21.40%
62360,"$105,244 ","$127,730 ",22486,21.4,"$22,486.00",21.40%
62533,"$242,319 ","$294,235 ",51916,21.4,"$51,916.00",21.40%
60927,"$229,757 ","$278,930 ",49173,21.4,"$49,173.00",21.40%
60957,"$927,573 ","$1,126,204 ",198631,21.4,"$198,631.00",21.40%
60067,"$4,613,966 ","$5,601,870 ",987904,21.4,"$987,904.00",21.40%
60171,"$5,081,668 ","$6,171,143 ",1089475,21.4,"$1,089,475.00",21.40%
61021,"$5,299,831 ","$6,434,242 ",1134411,21.4,"$1,134,411.00",21.40%
61109,"$6,364,102 ","$7,726,741 ",1362639,21.4,"$1,362,639.00",21.40%
61278,"$422,690 ","$513,617 ",90927,21.5,"$90,927.00",21.50%
60472,"$972,876 ","$1,183,136 ",210260,21.6,"$210,260.00",21.60%
60435,"$14,968,196 ","$18,194,349 ",3226153,21.6,"$3,226,153.00",21.60%
61606,"$332,867 ","$405,192 ",72325,21.7,"$72,325.00",21.70%
60532,"$3,606,430 ","$4,388,412 ",781982,21.7,"$781,982.00",21.70%
62681,"$729,707 ","$888,757 ",159050,21.8,"$159,050.00",21.80%
60451,"$4,651,209 ","$5,664,598 ",1013389,21.8,"$1,013,389.00",21.80%
62401,"$4,054,517 ","$4,937,578 ",883061,21.8,"$883,061.00",21.80%
62895,"$167,156 ","$203,807 ",36651,21.9,"$36,651.00",21.90%
62363,"$1,247,667 ","$1,521,299 ",273632,21.9,"$273,632.00",21.90%
60548,"$1,726,848 ","$2,107,243 ",380395,22,"$380,395.00",22.00%
60803,"$8,849,120 ","$10,795,957 ",1946837,22,"$1,946,837.00",22.00%
60154,"$6,831,724 ","$8,341,350 ",1509626,22.1,"$1,509,626.00",22.10%
60160,"$7,384,046 ","$9,015,503 ",1631457,22.1,"$1,631,457.00",22.10%
61064,"$307,488 ","$375,902 ",68414,22.2,"$68,414.00",22.20%
61257,"$349,692 ","$427,488 ",77796,22.2,"$77,796.00",22.20%
60657,"$5,189,075 ","$6,343,556 ",1154481,22.2,"$1,154,481.00",22.20%
60411,"$11,911,227 ","$14,560,563 ",2649336,22.2,"$2,649,336.00",22.20%
60484,"$837,082 ","$1,026,603 ",189521,22.6,"$189,521.00",22.60%
62864,"$5,033,850 ","$6,172,041 ",1138191,22.6,"$1,138,191.00",22.60%
