Place,NumberLocations,NumberMachines,MunicipalityShare
Schiller Park,9,39,7776.5
Schram City,6,24,2668.89
Schuyler County,1,3,40.99
Scott County,1,4,140.06
Seneca,8,33,4063.67
Sesser,5,22,1846.57
Shabbona,3,13,1158.68
Shannon,1,3,392.65
Shawneetown,1,5,565.47
Sheffield,3,5,85.66
Shelby County,1,3,54.4
Shelbyville,8,36,5355.71
Sheldon,2,8,664.84
Sheridan,2,8,1247
Sherman,5,20,3282.04
Sherrard,1,3,260.27
Shiloh,4,20,5128.64
Shipman,1,5,256.22
Sibley,1,3,285.46
Sidell,2,8,455.18
Sidney,1,4,983.84
Sigel,1,5,621.84
Silvis,8,37,9323.41
Sleepy Hollow,1,5,1004.71
Smithboro,1,5,954.66
Smithton,3,14,1888.95
Somonauk,1,5,626.12
Sorento,1,4,95.35
South Beloit,12,60,21477.48
South Chicago Heights,7,32,7629.19
South Elgin,15,69,20194.79
South Jacksonville,8,38,6957.65
South Pekin,1,3,52.92
South Roxana,2,8,587.89
South Wilmington,2,8,703.28
Southern View,7,35,8197.68
Sparta,6,29,3237.6
Spaulding,1,5,1273.24
Spring Grove,2,9,2318.22
Spring Valley,8,38,4159.34
Springfield,129,588,127154.34
St. Anne,1,4,397.43
St. Augustine,2,7,426.62
St. Charles,11,50,9267.89
St. Clair County,17,73,13573.53
St. David,2,5,457.13
St. Elmo,1,2,-3.56
St. Francisville,1,3,187.1
St. Jacob,1,5,282.58
St. Johns,2,9,798.44
St. Joseph,2,9,1455.59
St. Libory,1,3,422.89
St. Peter,2,5,729.84
St. Rose,1,3,188.78
Standard,1,3,341.59
Stark County,1,3,208.66
Staunton,9,41,5390.67
Steeleville,3,15,2851.06
Steger,10,47,9218.51
Stephenson County,8,39,6121.51
Sterling,19,91,15726.18
Steward,1,2,262.65
Stickney,6,30,7939.68
Stillman Valley,4,19,3158.31
Stockton,7,31,4798.34
Stone Park,8,34,8821.25
Stonington,1,4,535.19
Strasburg,2,8,847.32
Strawn,1,4,260.73
Streamwood,10,48,17631.68
Streator,29,132,19774.07
Sublette,3,10,1096.03
Sugar Grove,4,19,3299.02
Sullivan,6,27,2895.09
Summerfield,1,3,434.47
Summit,24,117,29131.65
Swansea,9,44,9339.91
Sycamore,13,58,13053.36
Symerton,1,3,280.18
Table Grove,2,6,279.25
Tallula,1,4,434.03
Tamaroa,2,8,406.31
Tampico,1,5,839.8
Taylor Springs,2,8,379.17
Taylorville,24,111,17856.75
Tazewell County,19,68,5446.64
Teutopolis,6,23,4107.61
Thayer,2,8,265.49
Thebes,1,3,123.08
Third Lake,2,7,1281.45
Thomasboro,2,10,576.26
Thomson,2,9,559.92
Thornton,2,10,2304.92
Tilden,1,5,915.39
Tilton,8,36,8367.89
Tinley Park,29,138,30527.32
Tiskilwa,2,7,817.12
Toledo,2,10,832.08
Tolono,5,22,2492.34
Toluca,4,16,1845.42
Tonica,2,9,815.93
Toulon,2,4,332.76
Tovey,1,5,629.22
Towanda,1,5,673.44
Tremont,5,18,5894.23
Trenton,3,13,1557.32
Troy,8,37,11886.15
Troy Grove,2,8,350.62
Tuscola,9,42,6714.57
Union,3,13,1494.66
Union County,5,21,2524.22
University Park,4,18,3725.23
Urbana,23,109,26920.76
Ursa,2,5,85.87
Valmeyer,1,3,140.78
Vandalia,17,83,13780.43
Venedy,1,4,328.9
Venice,2,9,189.55
Vermilion County,16,70,12957.55
Vermont,2,5,427.67
Victoria,1,5,439.35
Vienna,3,14,1615.74
Villa Grove,3,13,1660.86
Villa Park,19,89,29207.62
Viola,1,3,148.54
Virden,5,19,2661.97
Virgil,1,3,306.43
Virginia,4,16,2497.48
Wadsworth,11,55,26686.28
Walnut,2,9,1056.09
Walnut Hill,2,10,1319.83
Wamac,3,15,2014.41
Wapella,3,14,1773.65
Warren,3,11,1320.15
Warrensburg,1,5,447.62
Warsaw,2,6,339.39
Washburn,1,4,384.03
Washington,9,39,5738.39
Washington County,3,13,541.93
Washington Park,1,5,1296.59
Wataga,1,4,556.88
Waterloo,9,37,7115.42
Waterman,2,7,843.97
Watseka,11,51,4948.24
Wauconda,17,81,16565.74
Waukegan,52,247,87081.99
Waverly,3,12,2198.44
Wayne County,2,10,1104.75
Waynesville,1,3,157.88
Wenona,5,23,1795.7
West Brooklyn,2,8,877.14
West City,3,15,3716.55
West Dundee,7,30,2245.16
West Frankfort,8,35,8512.48
West Peoria,13,56,9031.14
Westchester,5,25,11209.41
Westmont,13,63,25851.65
Westville,6,29,4277.71
Wheeling,13,54,20359.09
White Hall,3,13,1221.66
Whiteside County,8,36,4987.59
Will County,24,103,16428.98
Williamson,1,5,926.63
Williamson County,15,65,7858.94
Williamsville,2,8,3251.52
Willisville,2,8,564.72
Willow Springs,5,24,2808.96
Willowbrook,4,20,4084.11
Wilmington (Will),10,44,6491.86
Wilsonville,2,9,272.22
Winchester,3,13,1844.14
Windsor (Mercer),1,2,228.84
Windsor (Shelby),3,11,642.09
Winnebago County,12,58,21537.76
Winslow,1,3,443.17
Winthrop Harbor,9,41,10614.34
Witt,1,3,455.06
Wood Dale,9,41,8678.8
Wood River,14,61,11846.97
Woodford County,2,7,599.71
Woodhull,4,18,4005.92
Woodridge,6,28,5016.59
Woodson,1,5,614.68
Woodstock,22,104,19627.49
Worden,2,6,685.77
